City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hervey Bay,75,AU,1555697108,94,-25.3,152.85,71.01,8.05
Sur,0,OM,1555697937,35,22.57,59.53,86.1,7.72
Arman,100,RU,1555697937,98,59.7,150.17,26.16,4.97
Puno,75,PE,1555693200,47,-15.84,-70.03,59.0,1.12
Pevek,100,RU,1555697937,92,69.7,170.27,10.32,14.34
Albany,90,US,1555697340,56,42.65,-73.75,73.99,11.41
Mindelo,20,PT,1555697825,64,41.31,-8.72,71.6,10.29
Severodvinsk,40,RU,1555695000,97,64.56,39.82,39.2,2.24
Tambacounda,0,SN,1555697938,6,13.77,-13.67,109.5,6.22
Rikitea,16,PF,1555697280,74,-23.12,-134.97,78.72,7.63
Lavrentiya,0,RU,1555697938,83,65.58,-170.99,-4.81,5.57
Eureka,90,US,1555697905,93,40.8,-124.16,66.0,5.82
Puerto Madryn,0,AR,1555697939,33,-42.77,-65.04,67.56,21.07
Llanes,100,ES,1555697774,80,43.42,-4.75,64.99,11.12
Mar del Plata,51,AR,1555697379,38,-46.43,-67.52,63.6,24.05
Smithers,75,CA,1555693200,56,54.78,-127.17,41.0,3.36
Geraldton,40,CA,1555696800,27,49.72,-86.95,53.6,8.05
Hobart,75,AU,1555697294,93,-42.88,147.33,46.0,4.7
Yorosso,94,ML,1555697939,20,12.35,-4.78,102.66,5.5
Butaritari,100,KI,1555697383,77,3.07,172.79,83.04,17.02
Torbay,90,CA,1555697912,59,47.66,-52.73,39.2,11.41
Cayenne,98,GF,1555695000,83,4.94,-52.33,80.6,12.75
Ushuaia,75,AR,1555693200,75,-54.81,-68.31,46.4,28.86
Nome,40,US,1555697919,37,30.04,-94.42,72.0,20.8
Bredasdorp,92,ZA,1555696854,49,-34.53,20.04,68.0,9.17
Leshukonskoye,98,RU,1555697940,90,64.9,45.76,33.36,1.97
Kargasok,71,RU,1555697940,84,59.06,80.87,28.14,7.83
Margate,75,AU,1555697834,93,-43.03,147.26,46.0,4.7
Busselton,97,AU,1555697276,98,-33.64,115.35,43.0,24.99
Upernavik,0,GL,1555697380,64,72.79,-56.15,9.78,6.38
Fez,75,MA,1555696800,67,34.03,-5.02,59.0,6.93
Cape Town,75,ZA,1555697774,93,-33.93,18.42,64.0,5.82
Hermanus,98,ZA,1555696854,96,-34.42,19.24,61.0,8.01
Lebu,73,ET,1555697941,67,8.96,38.73,62.7,4.16
Lompoc,90,US,1555697855,100,34.64,-120.46,69.01,5.82
Kangaatsiaq,0,GL,1555697941,72,68.31,-53.46,14.82,9.46
Airai,10,TL,1555697941,73,-8.93,125.41,73.86,5.91
Port Elizabeth,90,US,1555697923,82,39.31,-74.98,79.0,16.02
Sorland,75,NO,1555694400,93,67.67,12.69,42.8,10.29
Salinopolis,100,BR,1555697736,80,-0.61,-47.36,81.96,15.95
Nikolskoye,0,RU,1555697737,50,59.7,30.79,52.0,13.42
Arraial do Cabo,0,BR,1555693200,74,-22.97,-42.02,82.4,13.87
Avarua,98,CK,1555695000,69,-21.21,-159.78,75.2,10.29
Vila Velha,40,BR,1555697900,70,-3.71,-38.6,86.0,11.41
Hilo,75,US,1555697909,82,19.71,-155.08,73.0,5.82
Cidreira,42,BR,1555697943,51,-30.17,-50.22,78.9,7.31
Paracuru,40,BR,1555697900,70,-3.41,-39.03,86.0,11.41
Carnarvon,70,ZA,1555697943,9,-30.97,22.13,69.36,12.66
Vaini,4,IN,1555693200,83,15.34,74.49,75.2,5.82
Saint-Augustin,0,FR,1555697930,37,44.83,-0.61,73.99,6.93
Chokurdakh,0,RU,1555697944,84,70.62,147.9,1.14,6.71
Poum,40,MK,1555695000,30,41.28,20.71,57.2,5.82
Padang,100,ID,1555697944,73,-0.92,100.36,85.2,7.63
Pochutla,40,MX,1555697767,58,15.74,-96.47,91.99,2.59
Castro,20,CL,1555693200,71,-42.48,-73.76,55.4,8.05
Kayes,0,ML,1555697944,4,14.44,-11.44,110.4,6.87
Luderitz,82,NA,1555697944,87,-26.65,15.16,58.56,13.33
Ponta do Sol,0,BR,1555697945,51,-20.63,-46.0,77.1,5.86
Qaanaaq,97,GL,1555697374,83,77.48,-69.36,-12.01,3.85
Ostrovnoy,94,RU,1555697384,93,68.05,39.51,32.82,8.79
Stephenville,1,US,1555697916,31,32.22,-98.2,66.99,20.8
Fort Nelson,40,CA,1555693200,29,58.81,-122.69,50.0,16.11
Lasa,75,CY,1555697760,67,34.92,32.53,62.6,10.29
Plunge,0,LT,1555696200,81,55.91,21.84,42.8,5.82
Kendari,50,ID,1555697947,96,-3.99,122.52,75.48,2.01
Puerto Ayora,20,EC,1555696879,70,-0.74,-90.35,86.0,16.11
Vardo,90,US,1555697662,83,39.62,-77.74,72.0,8.05
Ancud,20,CL,1555693200,71,-41.87,-73.83,55.4,8.05
Balabac,71,PH,1555697948,75,7.99,117.06,84.3,10.92
Peleduy,36,RU,1555697948,91,59.63,112.75,23.1,9.55
Kununurra,12,AU,1555695000,88,-15.77,128.74,73.4,3.36
Bethel,40,US,1555692960,85,60.79,-161.76,24.8,4.7
Ambulu,55,ID,1555697951,79,-8.35,113.61,81.96,9.28
Saint-Philippe,90,CA,1555697920,93,45.36,-73.48,53.01,14.99
Punta Arenas,20,CL,1555696386,66,-53.16,-70.91,51.8,28.86
Chumikan,17,RU,1555697951,86,54.72,135.31,13.38,7.38
Bluff,0,AU,1555697375,88,-23.58,149.07,65.58,11.65
Bethanien,94,NA,1555697952,11,-26.5,17.16,74.22,11.61
Atuona,33,PF,1555697382,72,-9.8,-139.03,83.58,10.16
Yellowknife,90,CA,1555696364,79,62.45,-114.38,28.4,10.29
Camacha,40,PT,1555695000,59,33.08,-16.33,64.4,17.22
Bulembu,3,SZ,1555697784,82,-25.95,31.13,72.0,5.82
Cockburn Town,5,TC,1555697952,76,21.46,-71.14,78.9,20.58
Almaznyy,0,RU,1555695000,41,48.03,40.04,42.8,11.18
Honningsvag,60,NO,1555697952,70,70.98,25.97,41.64,15.48
Kutum,15,SD,1555697953,11,14.2,24.66,85.02,9.51
Coquimbo,90,CL,1555693200,77,-29.95,-71.34,59.0,6.93
Rovaniemi,0,FI,1555694400,48,66.5,25.72,42.8,3.36
Vila Franca do Campo,75,PT,1555695000,93,37.72,-25.43,64.4,4.7
Saint-Michel-des-Saints,100,CA,1555697953,90,46.68,-73.92,37.68,8.23
Manggar,100,ID,1555697953,91,-2.88,108.27,78.18,1.77
East London,0,ZA,1555696800,88,-33.02,27.91,71.6,6.93
Crateus,100,BR,1555697953,89,-5.18,-40.68,80.7,5.5
Port Alfred,99,ZA,1555697832,91,-33.59,26.89,66.0,6.89
Havoysund,66,NO,1555694400,75,71.0,24.66,41.0,17.22
Guerrero Negro,87,MX,1555697954,72,27.97,-114.04,63.96,10.4
Ranong,87,TH,1555697954,75,9.96,98.62,85.2,8.39
Belleville,90,CA,1555697704,93,44.16,-77.39,51.01,11.41
Georgetown,40,GY,1555693200,66,6.8,-58.16,91.4,13.87
Wattegama,99,LK,1555697954,92,7.35,80.68,75.3,0.87
Ahipara,1,NZ,1555697954,73,-35.17,173.16,63.6,8.19
Cefalu,26,IT,1555697862,67,38.04,14.02,64.99,3.0
Khatanga,48,RU,1555697955,97,71.98,102.47,-6.79,3.31
Padre Paraiso,9,BR,1555697955,62,-17.07,-41.48,85.02,2.04
Guantanamo,75,BO,1555693200,66,-16.14,-62.05,86.0,11.41
Bandarbeyla,0,SO,1555697955,68,9.49,50.81,80.52,10.09
Anadyr,0,RU,1555696386,84,64.73,177.51,8.6,6.71
Mishelevka,100,RU,1555697955,52,52.86,103.17,27.42,3.78
Tual,35,ID,1555697955,77,-5.67,132.75,83.94,13.06
New Norfolk,75,AU,1555697294,93,-42.78,147.06,46.0,4.7
Itaituba,40,BR,1555693200,63,-4.26,-55.99,91.4,6.93
Zeya,98,RU,1555697956,52,53.74,127.27,24.54,6.73
Kodiak,20,US,1555697910,36,39.95,-94.76,61.0,14.99
Kaitangata,100,NZ,1555697902,90,-46.28,169.85,51.01,3.0
Jamestown,77,AU,1555697956,29,-33.21,138.6,73.14,10.4
Cabo San Lucas,20,MX,1555696928,28,22.89,-109.91,93.0,2.24
Mecca,0,SA,1555697957,44,21.43,39.83,76.2,12.77
Oranjemund,86,ZA,1555697957,91,-28.55,16.43,60.18,6.29
Port-Gentil,20,GA,1555696800,94,-0.72,8.78,80.6,11.41
Tiksi,64,RU,1555697957,78,71.64,128.87,11.76,10.25
Kavieng,99,PG,1555697375,74,-2.57,150.8,83.22,7.61
Pundaguitan,20,PH,1555697958,73,6.37,126.17,81.78,6.08
Mataura,100,NZ,1555696808,97,-46.19,168.86,51.01,2.3
Kapit,87,MY,1555697958,96,2.02,112.94,73.68,0.2
Kavaratti,72,IN,1555697958,73,10.57,72.64,84.3,13.18
General Roca,0,AR,1555693200,33,-39.03,-67.58,73.4,5.82
Flin Flon,90,CA,1555697400,89,54.77,-101.88,48.2,2.24
Belaya Gora,0,RU,1555697958,82,68.54,146.19,0.78,3.24
Hasaki,75,JP,1555697826,66,35.73,140.83,51.8,13.87
San Cristobal,75,EC,1555697777,72,-0.39,-78.55,68.0,5.82
Tevaitoa,3,PF,1555697959,75,-16.78,-151.5,84.3,9.73
Mattru,97,SL,1555697959,63,7.62,-11.83,87.72,7.94
Port Blair,31,IN,1555697381,73,11.67,92.75,85.02,10.2
Strezhevoy,0,RU,1555695000,86,60.73,77.6,33.8,6.71
Te Anau,97,NZ,1555697959,94,-45.41,167.72,43.26,2.95
Grand Gaube,40,MU,1555697942,83,-20.01,57.66,78.8,5.82
San Patricio,88,PY,1555697960,49,-26.98,-56.83,86.64,2.95
Tuktoyaktuk,90,CA,1555693200,77,69.44,-133.03,6.8,12.75
Sarangani,16,PH,1555697960,72,5.4,125.46,83.76,11.92
Esna,75,RO,1555693200,87,45.2,27.57,46.4,9.17
Nabire,100,ID,1555697961,99,-3.36,135.5,70.62,1.9
Mont-de-Marsan,0,FR,1555697949,37,43.89,-0.5,71.6,13.87
Faanui,7,PF,1555697377,73,-16.48,-151.75,84.48,8.25
Sitka,0,US,1555697722,33,37.17,-99.65,62.01,8.99
Brae,2,GB,1555694400,58,60.4,-1.35,55.4,24.16
Binga,84,ZW,1555697961,75,-17.62,27.34,71.52,4.52
El Vigia,75,MX,1555697705,23,26.85,-109.72,100.0,8.05
Vao,85,EE,1555697962,54,59.1,26.19,48.12,6.89
Dunedin,100,NZ,1555697522,92,-45.87,170.5,52.0,4.0
Rocha,97,UY,1555697816,46,-34.48,-54.34,79.62,7.63
North Myrtle Beach,90,US,1555697931,94,33.83,-78.68,77.0,14.99
Ornskoldsvik,78,SE,1555694400,66,63.29,18.72,53.6,11.41
Sabratah,90,LY,1555697962,55,32.79,12.49,68.82,31.54
Wajima,0,JP,1555697962,47,37.4,136.9,48.48,6.29
Jussara,0,BR,1555697962,51,-15.87,-50.87,90.6,1.03
Nanortalik,0,GL,1555697963,58,60.14,-45.24,31.74,24.18
Srednekolymsk,41,RU,1555697963,86,67.46,153.71,4.02,6.71
Dukat,3,RS,1555697695,43,42.44,22.31,57.0,5.99
Kedrovyy,0,RU,1555695000,45,56.17,91.82,26.6,8.95
Masuguru,57,MZ,1555697963,93,-11.38,38.46,73.86,4.61
Marzuq,41,YE,1555697963,43,14.4,46.47,82.68,7.31
Frederikshavn,0,DK,1555697964,52,57.44,10.53,50.82,2.33
Los Llanos de Aridane,40,ES,1555697833,68,28.66,-17.92,66.2,17.22
Estreito,40,BR,1555697816,61,-22.44,-42.8,84.2,8.05
Azul,2,AR,1555697964,27,-36.78,-59.86,80.52,13.42
Souillac,0,FR,1555697930,33,45.6,-0.6,77.0,3.36
Makakilo City,75,US,1555697786,83,21.35,-158.09,77.0,6.93
San Alberto,20,PY,1555693200,52,-24.98,-54.91,87.8,5.82
Tofield,75,CA,1555697937,46,53.37,-112.67,52.0,12.75
Freeport,40,BS,1555693200,62,26.54,-78.7,86.0,21.92
Oktyabrskiy,0,RU,1555697185,39,55.61,37.97,48.2,2.24
Klaksvik,40,FO,1555696200,87,62.23,-6.59,50.0,16.11
Cabedelo,40,BR,1555693200,74,-6.97,-34.84,84.2,10.29
Tura,6,IN,1555697966,48,25.52,90.21,79.44,4.27
Barrow,0,AR,1555697966,28,-38.31,-60.23,74.4,6.62
Iqaluit,90,CA,1555696800,86,63.75,-68.52,28.0,17.22
Chuy,97,UY,1555697905,64,-33.69,-53.46,74.4,6.78
Veraval,0,FR,1555697959,46,49.65,0.71,72.0,6.93
Benavente,40,PT,1555697883,77,38.98,-8.82,66.99,6.93
Ilulissat,0,GL,1555696200,44,69.22,-51.1,19.4,6.93
Mount Gambier,90,AU,1555693200,42,-37.83,140.78,64.4,11.41
Cesky Krumlov,0,CZ,1555697947,40,48.81,14.32,63.0,4.0
Christchurch,90,NZ,1555697601,100,-43.53,172.64,55.0,2.24
Nacozari,45,MX,1555697715,39,25.34,-108.26,91.99,3.0
Sisimiut,0,GL,1555697967,40,66.94,-53.67,24.36,5.19
Dharchula,26,IN,1555697827,51,29.85,80.53,39.66,7.76
Tiznit,0,MA,1555697877,74,29.7,-9.73,63.06,34.67
Victoria,75,BN,1555695000,94,5.28,115.24,78.8,4.14
Saint-Pierre,0,FR,1555697862,43,48.95,4.24,71.6,8.05
Berlevag,3,NO,1555697969,72,70.86,29.09,39.84,18.72
Beloha,89,MG,1555697969,76,-25.17,45.06,71.34,14.54
Prince Rupert,75,CA,1555697340,75,54.32,-130.32,42.8,6.93
Anaconda,1,US,1555696894,33,46.13,-112.94,66.99,12.75
Port Shepstone,0,ZA,1555697969,95,-30.74,30.45,67.56,6.33
Neepawa,75,CA,1555696800,30,50.23,-99.46,66.2,28.86
Clyde River,20,CA,1555693200,83,70.47,-68.59,-5.81,5.82
Belmonte,92,PT,1555697905,57,40.36,-7.35,66.0,5.99
Hamilton,40,BM,1555696880,60,32.3,-64.78,72.0,16.11
Larsnes,0,NO,1555697820,50,62.2,5.58,55.99,9.17
Port Hardy,20,CA,1555693200,76,50.7,-127.42,48.2,10.29
Thompson,90,CA,1555693200,57,55.74,-97.86,48.2,5.82
Rio Grande City,1,US,1555697438,21,26.38,-98.82,84.99,6.93
High Level,40,CA,1555696800,27,58.52,-117.13,53.6,13.87
Saskylakh,38,RU,1555697972,93,71.97,114.09,-4.99,3.98
Esperance,40,TT,1555697795,52,10.24,-61.45,89.6,19.46
Kostomuksha,5,RU,1555697972,84,64.59,30.6,36.78,4.76
Pontianak,100,ID,1555697972,68,-0.02,109.34,85.2,1.48
Ribeira Grande,75,PT,1555695000,88,38.52,-28.7,64.4,2.24
Port Moresby,100,PG,1555697972,78,-9.47,147.16,80.16,11.77
Dubbo,0,AU,1555695000,88,-32.25,148.6,62.6,13.87
Mokhsogollokh,97,RU,1555697973,76,61.4,128.95,21.12,9.91
Manaure,90,CO,1555693200,55,11.78,-72.45,89.6,16.11
Meulaboh,100,ID,1555697973,75,4.14,96.13,84.12,10.78
Victoria,75,BN,1555695000,94,5.28,115.24,78.8,4.14
Talnakh,0,RU,1555693200,83,69.49,88.39,-7.61,11.18
Dingle,27,PH,1555697973,74,11.0,122.67,76.56,5.77
Homer,75,US,1555697571,64,59.64,-151.54,35.01,12.75
Kaeo,19,NZ,1555697284,90,-35.1,173.78,57.0,8.1
Bermeo,0,ES,1555697965,77,43.42,-2.72,64.99,5.82
Kapaa,40,US,1555697733,73,22.08,-159.32,75.99,16.11
Dankov,0,RU,1555695000,30,53.25,39.16,44.6,4.47
Araouane,0,ML,1555697974,8,18.9,-3.53,97.98,8.3
Springfield,40,US,1555697732,47,37.22,-93.29,59.0,21.92
Sant Pere de Ribes,20,ES,1555697949,59,41.26,1.77,66.2,26.4
Salalah,75,OM,1555692600,70,17.01,54.1,84.2,8.05
Norman Wells,90,CA,1555693200,86,65.28,-126.83,28.4,6.93
Grindavik,75,IS,1555697221,75,63.84,-22.43,48.99,31.09
Pitkyaranta,100,RU,1555697975,79,61.57,31.48,39.48,11.16
Beringovskiy,0,RU,1555697976,85,63.05,179.32,17.52,8.14
Tuatapere,100,NZ,1555696808,97,-46.13,167.69,51.01,6.42
Saldanha,86,PT,1555697976,64,41.42,-6.55,58.74,12.35
Tasiilaq,76,GL,1555692600,80,65.61,-37.64,39.2,6.93
Guilin,75,CN,1555693200,94,25.28,110.29,73.4,4.47
Bonthe,82,SL,1555697976,67,7.53,-12.5,86.64,10.45
Hithadhoo,100,MV,1555697976,79,-0.6,73.08,85.38,13.91
